0040BB1D	PUSH     EDX                                              EAX=000000F1 ECX=77AE3804 EDX=0000001E EBX=0040C70E ESP=0018FE48 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000292
0040BB1E	DEC      AL                                               EAX=000000F1 ECX=77AE3804 EDX=0000001E EBX=0040C70E ESP=0018FE44 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000292
0040BB20	DEC      DH                                               EAX=000000F0 ECX=77AE3804 EDX=0000001E EBX=0040C70E ESP=0018FE44 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000286
0040BB22	NEG      AL                                               EAX=000000F0 ECX=77AE3804 EDX=0000FF1E EBX=0040C70E ESP=0018FE44 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000296
0040BB24	CALL     0x40b99f                                         EAX=00000010 ECX=77AE3804 EDX=0000FF1E EBX=0040C70E ESP=0018FE44 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000203
0040B99F	BTC      EDX, 0xe                                         EAX=00000010 ECX=77AE3804 EDX=0000FF1E EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000203
0040B9A3	MOVZX    EDX, DL                                          EAX=00000010 ECX=77AE3804 EDX=0000BF1E EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000203
0040B9A6	CMC                                                       EAX=00000010 ECX=77AE3804 EDX=0000001E EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000203
0040B9A7	ROR      AL, 0x1                                          EAX=00000010 ECX=77AE3804 EDX=0000001E EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040B9A9	SBB      DX, 0x612a                                       EAX=00000008 ECX=77AE3804 EDX=0000001E EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040B9AE	ADC      DL, DL                                           EAX=00000008 ECX=77AE3804 EDX=00009EF4 EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000283
0040B9B0	ADD      DX, CX                                           EAX=00000008 ECX=77AE3804 EDX=00009EE9 EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000283
0040B9B3	BSWAP    DX                                               EAX=00000008 ECX=77AE3804 EDX=0000D6ED EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000286
0040B9B6	ADD      BL, AL                                           EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C70E ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000286
0040B9B8	AND      EDX, ESP                                         EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000212
0040B9BA	LEA      ESI, [ESI-0x1]                                   EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000246
0040B9BD	SHRD     DX, SP, CL                                       EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000246
0040B9C1	INC      DX                                               EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000246
0040B9C4	SBB      EDX, EDX                                         EAX=00000008 ECX=77AE3804 EDX=00000001 EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000202
0040B9C6	ADD      DX, 0x9dea                                       EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000246
0040B9CB	MOV      EDX, [EBP+0x0]                                   EAX=00000008 ECX=77AE3804 EDX=00009DEA EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000282
0040B9CE	PUSHA                                                     EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE40 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000282
0040B9CF	STC                                                       EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE20 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000282
0040B9D0	CALL     0x40c120                                         EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE20 EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000283
0040B3B2	ADD      EBP, 0x4                                         EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE1C EBP=0018FF08 ESI=0040C71B EDI=0018FE48 EFLAG=00000283
0040B3B5	CALL     0x40c167                                         EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE1C EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040C167	MOV      [EAX+EDI], EDX                                   EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE18 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040C16A	MOV      WORD [ESP+0x4], 0x4a62                           EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE18 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040C171	MOV      [ESP], DH                                        EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE18 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040C174	PUSHF                                                     EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE18 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040C175	PUSHF                                                     EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE14 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040C176	LEA      ESP, [ESP+0x38]                                  EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE10 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040BEFD	BSWAP    DX                                               EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE48 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
