SeqID:00000004 0133B820->0133B1F5                                                  EAX=A716AC3C ECX=00000000 EDX=0133AF16 EBX=309450C9 ESP=001EF704 EBP=001EF7E0 ESI=013E2CD1 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=0133AF16 EBX=309450C9 ESP=001EF704 EBP=001EF7E0 ESI=013E2CD1 EDI=001EF704 EFLAG=00000212
SeqID:00000006 0133AF16->0133CAB1                                                  EAX=000000C2 ECX=00000000 EDX=0133AF16 EBX=30945007 ESP=001EF704 EBP=001EF7E0 ESI=013E2CD2 EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=FFB8526A ECX=00000000 EDX=0133AF16 EBX=30DBFD9D ESP=001EF704 EBP=001EF7DC ESI=013E2CD6 EDI=001EF704 EFLAG=00000212
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=0133AF16 EBX=30DBFD9D ESP=001EF704 EBP=001EF7DC ESI=013E2CD6 EDI=001EF704 EFLAG=00000206
SeqID:00000005 0133C2E4->0133B81B                                                  EAX=000000B4 ECX=00000000 EDX=0133C2E4 EBX=30DBFDE9 ESP=001EF704 EBP=001EF7DC ESI=013E2CD7 EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000028 ECX=00000000 EDX=00000202 EBX=30DBFDC1 ESP=001EF704 EBP=001EF7D8 ESI=013E2CD8 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=00000202 EBX=30DBFDC1 ESP=001EF704 EBP=001EF7D8 ESI=013E2CD8 EDI=001EF704 EFLAG=00000206
SeqID:00000007 0133ADCC->0133C3BD                                                  EAX=00000043 ECX=00000000 EDX=0133ADCC EBX=30DBFD7E ESP=001EF704 EBP=001EF7D8 ESI=013E2CD9 EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=001EF7D8 ECX=00000000 EDX=0133ADCC EBX=30DBFD7E ESP=001EF704 EBP=001EF7D4 ESI=013E2CD9 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=0133ADCC EBX=30DBFD7E ESP=001EF704 EBP=001EF7D4 ESI=013E2CD9 EDI=001EF704 EFLAG=00000202
SeqID:00000011 0133B2E0->0133BDCB                                                  EAX=000000E0 ECX=00000000 EDX=0133B2E0 EBX=30DBFD9E ESP=001EF704 EBP=001EF7D4 ESI=013E2CDA EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001E0202 ECX=00000000 EDX=0133B2E0 EBX=30DBFD9E ESP=001EF704 EBP=001EF7D6 ESI=013E2CDA EDI=001EF704 EFLAG=00000202
SeqID:00000006 0133AF16->0133CAB1                                                  EAX=0000008A ECX=00000000 EDX=0133AF16 EBX=30DBFD14 ESP=001EF704 EBP=001EF7D6 ESI=013E2CDB EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=D9B84000 ECX=00000000 EDX=0133AF16 EBX=5723BD14 ESP=001EF704 EBP=001EF7D2 ESI=013E2CDF EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=0133AF16 EBX=5723BD14 ESP=001EF704 EBP=001EF7D2 ESI=013E2CDF EDI=001EF704 EFLAG=00000216
SeqID:00000007 0133ADCC->0133C3BD                                                  EAX=00000043 ECX=00000000 EDX=0133ADCC EBX=5723BDD1 ESP=001EF704 EBP=001EF7D2 ESI=013E2CE0 EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=001EF7D2 ECX=00000000 EDX=0133ADCC EBX=5723BDD1 ESP=001EF704 EBP=001EF7CE ESI=013E2CE0 EDI=001EF704 EFLAG=00000212
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=0133ADCC EBX=5723BDD1 ESP=001EF704 EBP=001EF7CE ESI=013E2CE0 EDI=001EF704 EFLAG=00000202
SeqID:00000012 0133BB24->0133C12C                                                  EAX=00000027 ECX=00000000 EDX=0133BB24 EBX=5723BDAA ESP=001EF704 EBP=001EF7CE ESI=013E2CE1 EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000006 ECX=00000000 EDX=0133BB24 EBX=5723BDAC ESP=001EF704 EBP=001EF7CA ESI=013E2CE2 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=0133BB24 EBX=5723BDAC ESP=001EF704 EBP=001EF7CA ESI=013E2CE2 EDI=001EF704 EFLAG=00000202
SeqID:00000003 0133AFB0->0133C9D8                                                  EAX=00000018 ECX=00000000 EDX=0133AFB0 EBX=5723BD94 ESP=001EF704 EBP=001EF7CA ESI=013E2CE3 EDI=001EF704 EFLAG=00000202
SeqID:00000008 0133D095->0133CC39                                                  EAX=00000006 ECX=00000000 EDX=0133AFB0 EBX=5723BD94 ESP=001EF704 EBP=001EF7CA ESI=013E2CE3 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000006 ECX=00000000 EDX=0133AFB0 EBX=5723BD94 ESP=001EF704 EBP=001EF7CA ESI=013E2CE3 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000028 ECX=00000000 EDX=00000206 EBX=5723BDB6 ESP=001EF704 EBP=001EF7CE ESI=013E2CE5 EDI=001EF704 EFLAG=00000202
SeqID:00000009 0133CF4A->0133BBB2                                                  EAX=0000003D ECX=00000000 EDX=0133CF4A EBX=5723BD79 ESP=001EF704 EBP=001EF7CE ESI=013E2CE6 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF7D8 ECX=00000000 EDX=D9B84000 EBX=5723BD79 ESP=001EF704 EBP=001EF7D6 ESI=013E2CE6 EDI=001EF704 EFLAG=00000212
SeqID:00000010 0133BD36->0133CFCF                                                  EAX=00000020 ECX=00000000 EDX=0133BD36 EBX=5723BD59 ESP=001EF704 EBP=001EF7D6 ESI=013E2CE7 EDI=001EF704 EFLAG=00000206
