SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=0117AF16 EBX=30DBFD9D ESP=003DF90C EBP=003DF9E4 ESI=01222CD6 EDI=003DF90C EFLAG=00000216
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000000 EDX=0117C2E4 EBX=30DBFDE9 ESP=003DF90C EBP=003DF9E4 ESI=01222CD7 EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000028 ECX=00000000 EDX=00000202 EBX=30DBFDC1 ESP=003DF90C EBP=003DF9E0 ESI=01222CD8 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=00000202 EBX=30DBFDC1 ESP=003DF90C EBP=003DF9E0 ESI=01222CD8 EDI=003DF90C EFLAG=00000216
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=00000043 ECX=00000000 EDX=0117ADCC EBX=30DBFD7E ESP=003DF90C EBP=003DF9E0 ESI=01222CD9 EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=003DF9E0 ECX=00000000 EDX=0117ADCC EBX=30DBFD7E ESP=003DF90C EBP=003DF9DC ESI=01222CD9 EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=0117ADCC EBX=30DBFD7E ESP=003DF90C EBP=003DF9DC ESI=01222CD9 EDI=003DF90C EFLAG=00000202
SeqID:00000011 0117B2E0->0117BDCB                                                  EAX=000000E0 ECX=00000000 EDX=0117B2E0 EBX=30DBFD9E ESP=003DF90C EBP=003DF9DC ESI=01222CDA EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003D0202 ECX=00000000 EDX=0117B2E0 EBX=30DBFD9E ESP=003DF90C EBP=003DF9DE ESI=01222CDA EDI=003DF90C EFLAG=00000206
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000008A ECX=00000000 EDX=0117AF16 EBX=30DBFD14 ESP=003DF90C EBP=003DF9DE ESI=01222CDB EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=D9B84000 ECX=00000000 EDX=0117AF16 EBX=5723BD14 ESP=003DF90C EBP=003DF9DA ESI=01222CDF EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=0117AF16 EBX=5723BD14 ESP=003DF90C EBP=003DF9DA ESI=01222CDF EDI=003DF90C EFLAG=00000216
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=00000043 ECX=00000000 EDX=0117ADCC EBX=5723BDD1 ESP=003DF90C EBP=003DF9DA ESI=01222CE0 EDI=003DF90C EFLAG=00000206
